[0]	validation-rmse:8.75941
[1]	validation-rmse:8.24221
[2]	validation-rmse:7.79651
[3]	validation-rmse:7.41460
[4]	validation-rmse:7.09059
[5]	validation-rmse:6.81151
[6]	validation-rmse:6.58003
[7]	validation-rmse:6.38266
[8]	validation-rmse:6.21790
[9]	validation-rmse:6.07984
[10]	validation-rmse:5.96535
[11]	validation-rmse:5.86937
[12]	validation-rmse:5.79069
[13]	validation-rmse:5.72434
[14]	validation-rmse:5.67112
[15]	validation-rmse:5.62534
[16]	validation-rmse:5.58950
[17]	validation-rmse:5.55931
[18]	validation-rmse:5.53348
[19]	validation-rmse:5.51398
[20]	validation-rmse:5.49633
[21]	validation-rmse:5.48241
[22]	validation-rmse:5.47015
[23]	validation-rmse:5.46013
[24]	validation-rmse:5.45182
[25]	validation-rmse:5.44446
[26]	validation-rmse:5.43798
[27]	validation-rmse:5.43227
[28]	validation-rmse:5.42815
[29]	validation-rmse:5.42340
🏃 View run puzzled-koi-39 at: http://localhost:5000/#/experiments/1/runs/2991a25353924145b8b70b49b1004efb
🧪 View experiment at: http://localhost:5000/#/experiments/1
