[0]	validation-rmse:9.26769
[1]	validation-rmse:8.76409
[2]	validation-rmse:8.33176
[3]	validation-rmse:7.96112
[4]	validation-rmse:7.64144
[5]	validation-rmse:7.37178
[6]	validation-rmse:7.14342
[7]	validation-rmse:6.95046
[8]	validation-rmse:6.78806
[9]	validation-rmse:6.65072
[10]	validation-rmse:6.53509
[11]	validation-rmse:6.44072
[12]	validation-rmse:6.35984
[13]	validation-rmse:6.29423
[14]	validation-rmse:6.23932
[15]	validation-rmse:6.19191
[16]	validation-rmse:6.15409
[17]	validation-rmse:6.12096
[18]	validation-rmse:6.09275
[19]	validation-rmse:6.06922
[20]	validation-rmse:6.04946
[21]	validation-rmse:6.03406
[22]	validation-rmse:6.01923
[23]	validation-rmse:6.00845
[24]	validation-rmse:5.99917
[25]	validation-rmse:5.99118
[26]	validation-rmse:5.98364
[27]	validation-rmse:5.97823
[28]	validation-rmse:5.97252
[29]	validation-rmse:5.96807
🏃 View run sneaky-smelt-627 at: http://localhost:5000/#/experiments/1/runs/f93ae961914d4f50ab5f171b03e28d22
🧪 View experiment at: http://localhost:5000/#/experiments/1
