[0]	validation-rmse:9.02689
[1]	validation-rmse:8.48835
[2]	validation-rmse:8.02208
[3]	validation-rmse:7.62175
[4]	validation-rmse:7.27905
[5]	validation-rmse:6.98533
[6]	validation-rmse:6.73789
[7]	validation-rmse:6.52698
[8]	validation-rmse:6.35129
[9]	validation-rmse:6.20380
[10]	validation-rmse:6.08022
[11]	validation-rmse:5.97642
[12]	validation-rmse:5.88795
[13]	validation-rmse:5.81631
[14]	validation-rmse:5.75820
[15]	validation-rmse:5.70772
[16]	validation-rmse:5.66639
[17]	validation-rmse:5.63177
[18]	validation-rmse:5.60301
[19]	validation-rmse:5.57932
[20]	validation-rmse:5.55969
[21]	validation-rmse:5.54234
[22]	validation-rmse:5.52771
[23]	validation-rmse:5.51526
[24]	validation-rmse:5.50503
[25]	validation-rmse:5.49553
[26]	validation-rmse:5.48764
[27]	validation-rmse:5.48111
[28]	validation-rmse:5.47634
[29]	validation-rmse:5.47092
🏃 View run rumbling-smelt-572 at: http://localhost:5000/#/experiments/1/runs/5f58c022d398402195d695c0e0aa15ac
🧪 View experiment at: http://localhost:5000/#/experiments/1
